M0;1669120;8453
M1;723968;9179
M2;1597440;2326
M3;1315840;8110
M4;2117632;7485
M5;1345536;9611
M6;1985536;11026
M7;1816576;5870
M8;1112064;7619
M9;1589248;4389
M10;1871872;2235
M11;638976;6961
M12;2170880;8299
M13;129024;7728
M14;354304;10803
M15;1963008;2795
M16;1666048;1329
M17;1176576;9554
M18;2050048;7842
M19;2504704;6430
M20;149504;6696
M21;317440;1419
M22;1400832;8081
M23;2544640;7812
M24;229376;4531
M25;2430976;89
M26;782336;3647
M27;1852416;7739
M28;392192;6857
M29;1370112;6970
M30;311296;2932
M31;2022400;4726
M32;1953792;3958
M33;2106368;4340
M34;1565696;4364
M35;1207296;3746
M36;701440;2810
M37;665600;6389
M38;2348032;2389
M39;2257920;685
M40;1788928;5880
M41;817152;3479
M42;1050624;5803
M43;1027072;7339
M44;1172480;1491
M45;543744;1745
M46;1928192;501
M47;1436672;1112
M48;422912;2423
M49;1481728;7282
